,Observed GMSL [lower],Observed GMSL [mean],Observed GMSL [upper],Sum of contributors [lower],Sum of contributors [mean],Sum of contributors [upper],Steric [lower],Steric [mean],Steric [upper],Glaciers [lower],Glaciers [mean],Glaciers [upper],Greenland Ice Sheet [lower],Greenland Ice Sheet [mean],Greenland Ice Sheet [upper],Antarctic Ice Sheet [lower],Antarctic Ice Sheet [mean],Antarctic Ice Sheet [upper],Terrestrial Water Storage [lower],Terrestrial Water Storage [mean],Terrestrial Water Storage [upper],Reservoir impoundment [lower],Reservoir impoundment [mean],Reservoir impoundment [upper],Groundwater depletion [lower],Groundwater depletion [mean],Groundwater depletion [upper],Natural TWS [lower],Natural TWS [mean],Natural TWS [upper],Altimetry [lower],Altimetry [mean],Altimetry [upper]
1900,"-203,557266615603","-173,261442091774","-141,002807032821","-199,227905273438","-173,090774536133","-146,75537109375","-58,6663055419922","-48,2793502807617","-37,5529174804687","-95,5","-79,5536956787109","-62,5","-58,7999992370605","-48,0644264221191","-37,4000015258789","-16,1499996185303","-9,49485301971436","-3,29999995231628","2,79999995231628","12,3268260955811","21,7999992370606","17,1000003814697","25,66184425354","34,3499984741211","-16,5499992370606","-12,482123374939","-8,19999980926514","-3,90000009536743","-2,06347131729126",0,,,
1901,"-201,018509148266","-168,801675260069","-135,897609137842","-195,460754394531","-170,245468139648","-144,462432861328","-58,7551460266113","-49,1448974609375","-38,8496017456055","-94,5999984741211","-78,7038116455078","-61,7999992370605","-58,9500007629395","-48,179386138916","-37,5999984741211",-16,"-9,4403247833252","-3,29999995231628","5,75","15,2467041015625","24,7000007629395","17,1000003814697","25,648962020874","34,3499984741211","-16,5","-12,4559860229492","-8,19999980926514","-1,25","0,809499084949493",3,,,
1902,"-212,074044218482","-180,389966950043","-148,213823998375","-193,369812011719","-168,421829223633","-142,79167175293","-59,1550178527832","-49,8775596618652","-39,8888282775879","-93,5","-77,843635559082","-61,2000007629395","-58,6500015258789","-47,8616981506348","-37,4500007629395","-15,8999996185303","-9,38560581207275","-3,29999995231628","7,15000009536743","16,5708084106445","26,1000003814697","17,1000003814697","25,6352405548096","34,2999992370605","-16,5","-12,4287490844727","-8,14999961853027",0,"2,10928869247436","4,40000009536743",,,
1903,"-202,697563869399","-170,267832246364","-138,93051820781","-193,189880371094","-168,557556152344","-143,225799560547","-60,9850120544434","-51,1005897521973","-40,815860748291","-92,8499984741211","-77,2720947265625","-60,5499992370605","-58,2000007629395","-47,4535484313965","-36,9500007629395","-15,8000001907349","-9,33183002471924","-3,29999995231628","7,15000009536743","16,62428855896","26,1000003814697","17,1000003814697","25,6253852844238","34,2999992370605","-16,4500007629395","-12,399525642395","-8,14999961853027",0,"2,1423487663269","4,59999990463257",,,
1904,"-200,167015056873","-168,720070891968","-137,45012239734","-193,112182617188","-168,372360229492","-142,754592895508","-62,5857124328613","-52,240177154541","-41,3792533874512","-91,8000030517578","-76,4307403564453","-59,7999992370606","-56,2000007629395","-46,6265563964844","-37,4000015258789","-15,6499996185303","-9,27763557434082","-3,29999995231628","6,69999980926514","16,2270450592041","25,7000007629394","17,1000003814697","25,6140003204346","34,2999992370605","-16,3999996185303","-12,3705368041992","-8,10000038146973","-0,300000011920929","1,7308429479599",4,,,
1905,"-192,131255104329","-160,981428722675","-130,351450782292","-190,909164428711","-167,325393676758","-142,610641479492","-62,0167808532715","-53,0252189636231","-43,1771545410156","-90,6999969482422","-75,4351043701172","-58,8499984741211","-55,0999984741211","-46,4172058105469","-37,9500007629395","-15,5500001907349","-9,22311592102051","-3,29999995231628","7,30000019073486","16,7994556427002","26,3999996185303","17,1000003814697","25,598295211792","34,25","-16,3500003814697","-12,3389320373535","-8,10000038146973","0,25","2,28271484375","4,5",,,
1906,"-205,926483551919","-175,605266335879","-144,489375720921","-193,755157470703","-168,996017456055","-143,617767333984","-64,6522750854492","-54,0007514953613","-43,2213897705078","-89,6999969482422","-74,6353073120117","-58,0499992370605","-54,4500007629395","-45,9562873840332","-37,5","-15,3999996185303","-9,16859149932861","-3,34999990463257","5,30000019073486","14,7910671234131","24,3500003814697","17,0499992370606","25,5826473236084","34,25","-16,3500003814697","-12,3076438903809","-8,10000038146973","-1,85000002384186","0,280351370573044","2,59999990463257",,,
1907,"-200,836081206149","-169,269222500189","-139,961310728058","-192,495544433594","-168,929626464844","-144,416564941406","-64,316162109375","-54,6380844116211","-44,8140487670898","-88,9000015258789","-73,9832611083984","-57,6500015258789","-54,2000007629395","-45,5907402038574","-37,25","-15,3000001907349","-9,11427879333496","-3,34999990463257","4,94999980926514","14,42116355896","23,8500003814697","17,0499992370606","25,5719127655029","34,2000007629395","-16,2999992370606","-12,276496887207","-8,05000019073486","-2,29999995231628","-0,105469219386578","2,20000004768372",,,
1908,"-214,93706570236","-184,1125088215","-152,597871739607","-191,000946044922","-167,252563476563","-142,998626708984","-65,6385650634766","-55,2219467163086","-44,4686241149902","-87,9499969482422","-73,1934509277344","-57,0499992370606","-53,4500007629395","-44,8806304931641","-36,5499992370605","-15,1499996185303","-9,06019496917725","-3,34999990463257","5,69999980926514","15,1281871795654","24,6499996185303","17,0499992370606","25,5563011169434","34,2000007629395","-16,25","-12,2430639266968","-8,05000019073486","-1,45000004768372","0,574958086013794","2,79999995231628",,,
1909,"-208,986879760794","-178,725951371542","-146,498860114352","-189,148315429688","-166,104110717773","-142,313583374023","-66,4054641723633","-56,3041191101074","-46,2988777160645","-86,9499969482422","-72,4466094970703","-56,4000015258789","-51,7000007629395","-44,307487487793","-37,1500015258789","-15,0500001907349","-9,00573539733887","-3,40000009536743","6,55000019073486","15,9836368560791","25,5","17,0499992370606","25,5359401702881","34,1500015258789","-16,2000007629395","-12,2082214355469","-8,05000019073486","-0,800000011920929","1,40468108654022","3,75",,,
