#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1900.00   -0.008347    0.030853    0.074499    0.023040  99.9900000  99.9900000   -0.104700    0.000000   -0.023605    0.000000
   1900.05    0.036959    0.028116    0.023066    0.020416  99.9900000  99.9900000   -0.104703    0.000000   -0.023536    0.000000
   1900.10    0.048625    0.030583    0.012215    0.023910  99.9900000  99.9900000   -0.104620    0.000000   -0.022794    0.000000
   1900.15    0.030059    0.021686    0.001794    0.021695  99.9900000  99.9900000   -0.104597    0.000000   -0.021746    0.000000
   1900.20    0.028219    0.022862   -0.001643    0.021845  99.9900000  99.9900000   -0.104846    0.000000   -0.020317    0.000000
   1900.25   -0.002529    0.028022   -0.018528    0.023079  99.9900000  99.9900000   -0.105219    0.000000   -0.019252    0.000000
   1900.30   -0.007859    0.019951   -0.026501    0.020742  99.9900000  99.9900000   -0.105495    0.000000   -0.018466    0.000000
   1900.35   -0.058491    0.021348   -0.040657    0.020619  99.9900000  99.9900000   -0.105477    0.000000   -0.018323    0.000000
   1900.40   -0.064116    0.020573   -0.058527    0.018253  99.9900000  99.9900000   -0.105163    0.000000   -0.018435    0.000000
   1900.45   -0.072267    0.018510   -0.078104    0.019856  99.9900000  99.9900000   -0.104232    0.000000   -0.018638    0.000000
   1900.50   -0.034588    0.019193   -0.035007    0.017403  99.9900000  99.9900000   -0.103112    0.000000   -0.019063    0.000000
   1900.55   -0.038479    0.016898   -0.048391    0.019413  99.9900000  99.9900000   -0.101859    0.000000   -0.019063    0.000000
   1900.60   -0.062499    0.021674   -0.008406    0.019694  99.9900000  99.9900000   -0.100875    0.000000   -0.018949    0.000000
   1900.65   -0.081655    0.022413   -0.026014    0.021047  99.9900000  99.9900000   -0.100243    0.000000   -0.018929    0.000000
   1900.70   -0.080304    0.019375    0.003017    0.019940  99.9900000  99.9900000   -0.100126    0.000000   -0.018969    0.000000
   1900.75   -0.072781    0.020453    0.052618    0.020011  99.9900000  99.9900000   -0.100372    0.000000   -0.019374    0.000000
   1900.80   -0.083561    0.021644    0.052059    0.018456  99.9900000  99.9900000   -0.100989    0.000000   -0.019951    0.000000
   1900.85   -0.091358    0.028259    0.106127    0.022968  99.9900000  99.9900000   -0.101866    0.000000   -0.020573    0.000000
   1900.90   -0.072957    0.026385    0.122021    0.023367  99.9900000  99.9900000   -0.102536    0.000000   -0.021441    0.000000
   1900.95   -0.003251    0.022086    0.110766    0.022654  99.9900000  99.9900000   -0.103128    0.000000   -0.022033    0.000000
   1901.00   -0.008989    0.025493    0.105998    0.024579  99.9900000  99.9900000   -0.103259    0.000000   -0.022646    0.000000
   1901.05   -0.002093    0.022840    0.132400    0.025586  99.9900000  99.9900000   -0.103330    0.000000   -0.022225    0.000000
   1901.10    0.020832    0.028306    0.092595    0.024086  99.9900000  99.9900000   -0.103094    0.000000   -0.021779    0.000000
   1901.15    0.018396    0.027953    0.103691    0.021512  99.9900000  99.9900000   -0.103122    0.000000   -0.020546    0.000000
   1901.20    0.056920    0.023553    0.110379    0.021223  99.9900000  99.9900000   -0.103352    0.000000   -0.019188    0.000000
   1901.25    0.043545    0.022002    0.065061    0.021957  99.9900000  99.9900000   -0.103650    0.000000   -0.018075    0.000000
   1901.30    0.061390    0.018372    0.062932    0.019516  99.9900000  99.9900000   -0.103901    0.000000   -0.017452    0.000000
   1901.35    0.102814    0.019188    0.037863    0.019404  99.9900000  99.9900000   -0.103893    0.000000   -0.017216    0.000000
   1901.40    0.082087    0.018702   -0.035288    0.021217  99.9900000  99.9900000   -0.103375    0.000000   -0.017403    0.000000
   1901.45    0.122454    0.017651   -0.030943    0.017567  99.9900000  99.9900000   -0.102559    0.000000   -0.017708    0.000000
   1901.50    0.138023    0.019362   -0.028110    0.019465  99.9900000  99.9900000   -0.101248    0.000000   -0.017917    0.000000
   1901.55    0.092854    0.020716   -0.106355    0.018839  99.9900000  99.9900000   -0.100042    0.000000   -0.017932    0.000000
   1901.60    0.069654    0.018276   -0.154103    0.017688  99.9900000  99.9900000   -0.099050    0.000000   -0.018025    0.000000
   1901.65    0.090697    0.016236   -0.123290    0.016972  99.9900000  99.9900000   -0.098453    0.000000   -0.017779    0.000000
   1901.70    0.057053    0.017380   -0.113086    0.017000  99.9900000  99.9900000   -0.098296    0.000000   -0.018130    0.000000
   1901.75    0.004785    0.021673   -0.085625    0.018247  99.9900000  99.9900000   -0.098497    0.000000   -0.018404    0.000000
   1901.80   -0.045604    0.022499   -0.083720    0.018287  99.9900000  99.9900000   -0.099291    0.000000   -0.019011    0.000000
   1901.85   -0.069183    0.022234   -0.071898    0.019940  99.9900000  99.9900000   -0.099886    0.000000   -0.019723    0.000000
   1901.90   -0.058863    0.026226   -0.026214    0.021417  99.9900000  99.9900000   -0.100651    0.000000   -0.020524    0.000000
   1901.95   -0.118209    0.022399    0.004203    0.020279  99.9900000  99.9900000   -0.100975    0.000000   -0.021191    0.000000
   1902.00   -0.136061    0.024328    0.029224    0.022264  99.9900000  99.9900000   -0.101174    0.000000   -0.021467    0.000000
   1902.05   -0.139199    0.022639    0.065133    0.025465  99.9900000  99.9900000   -0.101118    0.000000   -0.021412    0.000000
   1902.10   -0.130703    0.027276    0.128537    0.023978  99.9900000  99.9900000   -0.101129    0.000000   -0.020648    0.000000
   1902.15   -0.128082    0.028357    0.182828    0.026520  99.9900000  99.9900000   -0.101038    0.000000   -0.019594    0.000000
   1902.20   -0.079908    0.018751    0.204049    0.020440  99.9900000  99.9900000   -0.101390    0.000000   -0.018626    0.000000
   1902.25   -0.067531    0.021570    0.222242    0.023078  99.9900000  99.9900000   -0.101643    0.000000   -0.017391    0.000000
   1902.30   -0.014009    0.017191    0.203415    0.017864  99.9900000  99.9900000   -0.101900    0.000000   -0.016923    0.000000
   1902.35    0.034229    0.018377    0.232773    0.018376  99.9900000  99.9900000   -0.101776    0.000000   -0.016639    0.000000
   1902.40    0.093368    0.016867    0.205095    0.018734  99.9900000  99.9900000   -0.101372    0.000000   -0.016711    0.000000
   1902.45    0.150632    0.017299    0.166550    0.018512  99.9900000  99.9900000   -0.100457    0.000000   -0.016961    0.000000
   1902.50    0.192457    0.017216    0.126472    0.018425  99.9900000  99.9900000   -0.099322    0.000000   -0.017171    0.000000
