LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_1,ocean_mean_trend_step_2,ocean_mean_trend_step_3,ocean_mean_trend_step_4,ocean_mean_trend_step_5
False,mean,False,mean,,,,GFZ,,,elastic,1.865566,1.919254,1.919254,1.864257,2.087014
False,mean,False,mean,,,,JPL,,,elastic,1.933507,1.987195,1.987195,1.938903,2.167613
False,mean,False,mean,,,,CSR,,,elastic,1.865404,1.919093,1.919093,1.873934,2.102583
False,mean,False,mean,,,,MSSA,,,elastic,1.955641,2.00933,2.00933,2.026719,2.12896
True,mean,False,mean,,,,GFZ,,,elastic,1.873194,1.926704,1.926704,1.872067,2.095985
True,mean,False,mean,,,,JPL,,,elastic,1.941407,1.994916,1.994916,1.946645,2.175944
True,mean,False,mean,,,,CSR,,,elastic,1.873032,1.926541,1.926541,1.881167,2.111752
True,mean,False,mean,,,,MSSA,,,elastic,1.963629,2.017139,2.017139,2.034234,2.135941
False,mean,False,lower,,,,GFZ,,,elastic,1.848995,1.902683,1.902683,1.848278,2.069433
False,mean,False,lower,,,,JPL,,,elastic,1.916332,1.970021,1.970021,1.922167,2.148643
False,mean,False,lower,,,,CSR,,,elastic,1.848834,1.902523,1.902523,1.857508,2.08368
False,mean,False,lower,,,,MSSA,,,elastic,1.93827,1.991959,1.991959,2.008898,2.112207
True,mean,False,lower,,,,GFZ,,,elastic,1.85713,1.910639,1.910639,1.856002,2.07769
True,mean,False,lower,,,,JPL,,,elastic,1.924758,1.978267,1.978267,1.930239,2.157182
True,mean,False,lower,,,,CSR,,,elastic,1.856969,1.910479,1.910479,1.865566,2.093281
True,mean,False,lower,,,,MSSA,,,elastic,1.94679,2.000299,2.000299,2.017603,2.119129
False,mean,False,upper,,,,GFZ,,,elastic,1.879769,1.933458,1.933458,1.878568,2.103156
False,mean,False,upper,,,,JPL,,,elastic,1.948227,2.001916,2.001916,1.953323,2.183919
False,mean,False,upper,,,,CSR,,,elastic,1.879606,1.933295,1.933295,1.888109,2.119227
False,mean,False,upper,,,,MSSA,,,elastic,1.970531,2.024219,2.024219,2.041219,2.14284
True,mean,False,upper,,,,GFZ,,,elastic,1.886454,1.939964,1.939964,1.884578,2.110298
True,mean,False,upper,,,,JPL,,,elastic,1.95515,2.00866,2.00866,1.959756,2.191595
True,mean,False,upper,,,,CSR,,,elastic,1.886291,1.939801,1.939801,1.89476,2.126892
True,mean,False,upper,,,,MSSA,,,elastic,1.97753,2.031039,2.031039,2.047624,2.149193
False,mean,False,mean,,,PAR3P,GFZ,0.15,0.26,short-term,1.865566,1.938243,2.150988,2.179908,2.448593
False,mean,False,mean,,,PAR3P,JPL,0.15,0.26,short-term,1.933507,2.006184,2.22757,2.265126,2.536809
False,mean,False,mean,,,PAR3P,CSR,0.15,0.26,short-term,1.865404,1.938082,2.155669,2.194615,2.46833
False,mean,False,mean,,,PAR3P,MSSA,0.15,0.26,short-term,1.955641,2.028319,2.28515,2.383468,2.495492
True,mean,False,mean,,,PAR3P,GFZ,0.15,0.26,short-term,1.873194,1.94558,2.155427,2.182665,2.450895
True,mean,False,mean,,,PAR3P,JPL,0.15,0.26,short-term,1.941407,2.013793,2.232132,2.268862,2.539555
True,mean,False,mean,,,PAR3P,CSR,0.15,0.26,short-term,1.873032,1.945418,2.160058,2.197589,2.470046
