LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
False,mean,True,mean,,,,GFZ,,,elastic,1.991899
False,mean,True,mean,,,,JPL,,,elastic,2.061466
False,mean,True,mean,,,,CSR,,,elastic,2.004874
False,mean,True,mean,,,,MSSA,,,elastic,2.045856
True,mean,True,mean,,,,GFZ,,,elastic,1.998717
True,mean,True,mean,,,,JPL,,,elastic,2.070475
True,mean,True,mean,,,,CSR,,,elastic,2.012097
False,mean,True,lower,,,,GFZ,,,elastic,1.973889
False,mean,True,lower,,,,JPL,,,elastic,2.043116
False,mean,True,lower,,,,CSR,,,elastic,1.987742
False,mean,True,lower,,,,MSSA,,,elastic,2.029187
True,mean,True,lower,,,,GFZ,,,elastic,1.98279
True,mean,True,lower,,,,JPL,,,elastic,2.050982
True,mean,True,lower,,,,CSR,,,elastic,1.995596
True,mean,True,lower,,,,MSSA,,,elastic,2.037066
False,mean,True,upper,,,,GFZ,,,elastic,2.006148
False,mean,True,upper,,,,JPL,,,elastic,2.077753
False,mean,True,upper,,,,CSR,,,elastic,2.019348
False,mean,True,upper,,,,MSSA,,,elastic,2.058689
True,mean,True,upper,,,,GFZ,,,elastic,2.013122
True,mean,True,upper,,,,JPL,,,elastic,2.085199
True,mean,True,upper,,,,CSR,,,elastic,2.026898
True,mean,True,upper,,,,MSSA,,,elastic,2.065123
False,mean,True,mean,,,PAR3P,GFZ,0.15,0.26,short-term,2.33627
False,mean,True,mean,,,PAR3P,JPL,0.15,0.26,short-term,2.416366
False,mean,True,mean,,,PAR3P,CSR,0.15,0.26,short-term,2.350388
False,mean,True,mean,,,PAR3P,MSSA,0.15,0.26,short-term,2.364962
True,mean,True,mean,,,PAR3P,GFZ,0.15,0.26,short-term,2.337246
True,mean,True,mean,,,PAR3P,JPL,0.15,0.26,short-term,2.417896
True,mean,True,mean,,,PAR3P,CSR,0.15,0.26,short-term,2.351762
False,mean,True,lower,,,PAR3P,GFZ,0.15,0.26,short-term,2.340365
False,mean,True,lower,,,PAR3P,JPL,0.15,0.26,short-term,2.42073
False,mean,True,lower,,,PAR3P,CSR,0.15,0.26,short-term,2.355964
False,mean,True,lower,,,PAR3P,MSSA,0.15,0.26,short-term,2.368551
True,mean,True,lower,,,PAR3P,GFZ,0.15,0.26,short-term,2.341009
True,mean,True,lower,,,PAR3P,JPL,0.15,0.26,short-term,2.421887
True,mean,True,lower,,,PAR3P,CSR,0.15,0.26,short-term,2.356802
True,mean,True,lower,,,PAR3P,MSSA,0.15,0.26,short-term,2.370795
False,mean,True,upper,,,PAR3P,GFZ,0.15,0.26,short-term,2.330606
False,mean,True,upper,,,PAR3P,JPL,0.15,0.26,short-term,2.410169
False,mean,True,upper,,,PAR3P,CSR,0.15,0.26,short-term,2.34456
False,mean,True,upper,,,PAR3P,MSSA,0.15,0.26,short-term,2.359709
True,mean,True,upper,,,PAR3P,GFZ,0.15,0.26,short-term,2.330675
True,mean,True,upper,,,PAR3P,JPL,0.15,0.26,short-term,2.410231
True,mean,True,upper,,,PAR3P,CSR,0.15,0.26,short-term,2.345336
True,mean,True,upper,,,PAR3P,MSSA,0.15,0.26,short-term,2.361095
False,mean,True,mean,,,PAR3P,GFZ,0.1,0.26,short-term,2.375598
False,mean,True,mean,,,PAR3P,JPL,0.1,0.26,short-term,2.454567
False,mean,True,mean,,,PAR3P,CSR,0.1,0.26,short-term,2.393092
False,mean,True,mean,,,PAR3P,MSSA,0.1,0.26,short-term,2.405019
True,mean,True,mean,,,PAR3P,GFZ,0.1,0.26,short-term,2.373714
True,mean,True,mean,,,PAR3P,JPL,0.1,0.26,short-term,2.453649
True,mean,True,mean,,,PAR3P,CSR,0.1,0.26,short-term,2.392106
False,mean,True,lower,,,PAR3P,GFZ,0.1,0.26,short-term,2.385374
False,mean,True,lower,,,PAR3P,JPL,0.1,0.26,short-term,2.464127
False,mean,True,lower,,,PAR3P,CSR,0.1,0.26,short-term,2.403685
False,mean,True,lower,,,PAR3P,MSSA,0.1,0.26,short-term,2.412139
True,mean,True,lower,,,PAR3P,GFZ,0.1,0.26,short-term,2.38415
True,mean,True,lower,,,PAR3P,JPL,0.1,0.26,short-term,2.46307
True,mean,True,lower,,,PAR3P,CSR,0.1,0.26,short-term,2.402781
True,mean,True,lower,,,PAR3P,MSSA,0.1,0.26,short-term,2.411095
False,mean,True,upper,,,PAR3P,GFZ,0.1,0.26,short-term,2.36461
False,mean,True,upper,,,PAR3P,JPL,0.1,0.26,short-term,2.443287
False,mean,True,upper,,,PAR3P,CSR,0.1,0.26,short-term,2.381905
False,mean,True,upper,,,PAR3P,MSSA,0.1,0.26,short-term,2.394213
True,mean,True,upper,,,PAR3P,GFZ,0.1,0.26,short-term,2.363514
