LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
False,mean,False,mean,,,,GFZ,,,elastic,2.087014
False,mean,False,mean,,,,JPL,,,elastic,2.167613
False,mean,False,mean,,,,CSR,,,elastic,2.102583
False,mean,False,mean,,,,MSSA,,,elastic,2.12896
True,mean,False,mean,,,,GFZ,,,elastic,2.095985
True,mean,False,mean,,,,JPL,,,elastic,2.175944
True,mean,False,mean,,,,CSR,,,elastic,2.111752
True,mean,False,mean,,,,MSSA,,,elastic,2.135941
False,mean,False,lower,,,,GFZ,,,elastic,2.069433
False,mean,False,lower,,,,JPL,,,elastic,2.148643
False,mean,False,lower,,,,CSR,,,elastic,2.08368
False,mean,False,lower,,,,MSSA,,,elastic,2.112207
True,mean,False,lower,,,,GFZ,,,elastic,2.07769
True,mean,False,lower,,,,JPL,,,elastic,2.157182
True,mean,False,lower,,,,CSR,,,elastic,2.093281
True,mean,False,lower,,,,MSSA,,,elastic,2.119129
False,mean,False,upper,,,,GFZ,,,elastic,2.103156
False,mean,False,upper,,,,JPL,,,elastic,2.183919
False,mean,False,upper,,,,CSR,,,elastic,2.119227
False,mean,False,upper,,,,MSSA,,,elastic,2.14284
True,mean,False,upper,,,,GFZ,,,elastic,2.110298
True,mean,False,upper,,,,JPL,,,elastic,2.191595
True,mean,False,upper,,,,CSR,,,elastic,2.126892
True,mean,False,upper,,,,MSSA,,,elastic,2.149193
False,mean,False,mean,,,PAR3P,GFZ,0.15,0.26,short-term,2.448593
False,mean,False,mean,,,PAR3P,JPL,0.15,0.26,short-term,2.536809
False,mean,False,mean,,,PAR3P,CSR,0.15,0.26,short-term,2.46833
False,mean,False,mean,,,PAR3P,MSSA,0.15,0.26,short-term,2.495492
True,mean,False,mean,,,PAR3P,GFZ,0.15,0.26,short-term,2.450895
True,mean,False,mean,,,PAR3P,JPL,0.15,0.26,short-term,2.539555
True,mean,False,mean,,,PAR3P,CSR,0.15,0.26,short-term,2.470046
True,mean,False,mean,,,PAR3P,MSSA,0.15,0.26,short-term,2.495833
False,mean,False,lower,,,PAR3P,GFZ,0.15,0.26,short-term,2.452285
False,mean,False,lower,,,PAR3P,JPL,0.15,0.26,short-term,2.540472
False,mean,False,lower,,,PAR3P,CSR,0.15,0.26,short-term,2.472017
False,mean,False,lower,,,PAR3P,MSSA,0.15,0.26,short-term,2.501318
True,mean,False,lower,,,PAR3P,GFZ,0.15,0.26,short-term,2.454862
